t_wall,t_rel,cmd_pulse,cmd_steer_deg,drive_pulse_cmd,brake_level,ego_x_m,ego_y_m,ego_heading_deg,ego_pulse,ego_wp_idx,ego_wp_total,ego_fix_ok,cte_m,heading_err_deg,target_idx,target_dist_m,goal_dist_m,gps_course_deg,fuse_corr_deg,gyro_z_dps,brake_latched,head_init_deg,head_sigma_deg,head_resid_m,head_dist_m,encoder_sum,steer_measured_deg,throttle_raw,control_state,vehicle_mode,estop,board_status,drive_state,drive_cmd,drive_event,fix_lat,fix_lon,fix_alt_m,fix_status,fix_cov_xx,imu_quat_x,imu_quat_y,imu_quat_z,imu_quat_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_acc_x,imu_acc_y,imu_acc_z
1786452584.137427,51.756,1.0,-37.80135772208904,1,0,21.85753137178439,4.813454781518016,126.0975886273506,1.5,86.0,161.0,1.0,0.39127770528174777,26.20839029199626,92.0,2.863550976534186,22.839386326143703,135.3506191036933,0.6353310072678824,11.923,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,3,-38,180,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96766845333333,127.87397280333333,122.483,2,0.00015376,-0.24594551776434187,0.14136241958833037,0.7585428787950721,0.5866346134085911,-0.12096877045572699,-0.005323254218582705,0.2080956067152839,-5.825150099999999,-0.9512450499999999,7.5609271499999995
1786452584.187447,51.806,1.0,-37.04155115024382,1,0,21.85753137178439,4.813454781518016,126.69325480581551,1.5,86.0,161.0,1.0,0.39127770528174777,25.548372709102882,92.0,2.863550976534186,22.839386326143703,135.3506191036933,0.6353310072678824,11.418,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,3,-38,179,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96766845333333,127.87397280333333,122.483,2,0.00015376,-0.24670940315993087,0.13988880381505223,0.7619671419116515,0.5822127339784438,-0.1193630675438922,-0.0005759586531581288,0.19928169399271253,-5.874183349999999,-2.0299765499999998,8.34545915
1786452584.237415,51.856,1.0,-36.30722245405308,1,0,21.85753137178439,4.813454781518016,127.26338658310203,1.5,86.0,161.0,1.0,0.39127770528174777,24.952706530637982,92.0,2.863550976534186,22.839386326143703,135.3506191036933,0.6353310072678824,11.078,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,4,-38,179,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96766845333333,127.87397280333333,122.483,2,0.00015376,-0.24784959395617187,0.13840861038633917,0.765273411428049,0.5777285185170966,-0.1315803723078525,0.013857914260834978,0.19334757453593182,-5.89379665,-1.67693715,8.208166049999999
1786452584.287412,51.906,1.0,-37.8955051123182,1,0,21.691507166375647,4.935720689135131,128.58512485264373,1.5,86.0,161.0,1.0,0.40118794934115204,24.382574753351467,92.0,2.863550976534186,22.657717211196545,143.14069043562185,0.7660823991041114,10.71,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,3,-38,181,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96766955166667,127.87397093666667,122.49000000000001,2,0.00015376,-0.24866833327457702,0.1370682959943103,0.7688080417785965,0.5729838890895799,-0.136048415192958,0.02488839513343914,0.18692476288859272,-5.6290170999999996,-0.77472535,7.6688003
1786452584.337410,51.956,1.0,-37.149663039298375,1,0,21.691507166375647,4.935720689135131,129.1207264804704,1.5,86.0,161.0,1.0,0.40118794934115204,23.680218750655214,92.0,2.659533789547456,22.657717211196545,143.14069043562185,0.7660823991041114,12.835,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,2,-38,181,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96766955166667,127.87397093666667,122.49000000000001,2,0.00015376,-0.24932256393851482,0.13532158173592104,0.7724880693065338,0.5681447979227457,-0.14498450096316895,-0.03890338902695361,0.22401300949347222,-4.873905049999999,0.18632634999999997,8.28661925
1786452584.387444,52.006,1.0,-36.248492695481225,1,0,21.691507166375647,4.935720689135131,129.76151805637903,1.0,86.0,161.0,1.0,0.40118794934115204,23.14461712282852,92.0,2.659533789547456,22.657717211196545,143.14069043562185,0.7660823991041114,13.056,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,2,-38,181,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96766955166667,127.87397093666667,122.49000000000001,2,0.00015376,-0.24998900616964287,0.1337299613063467,0.7760492181226144,0.5633554874984322,-0.10435323597674097,-0.005445427266222308,0.22787018714037965,-4.030533149999999,-0.0980665,8.306232549999999
1786452584.437425,52.056,1.0,-35.322128586558364,1,0,21.691507166375647,4.935720689135131,130.41327153538293,1.0,86.0,161.0,1.0,0.40118794934115204,22.50382554691991,92.0,2.6595337895474556,22.657717211196545,143.14069043562185,0.7660823991041114,12.566,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,2,-38,180,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96766955166667,127.87397093666667,122.49000000000001,2,0.00015376,-0.25017151939688037,0.13204147420356002,0.7795944193698962,0.5587591621263326,-0.15461871843417765,-0.051103240498393966,0.21931807380560747,-5.30539765,-0.4903325,7.8060934
1786452584.487447,52.106,1.0,-38.47469437346297,1,0,21.512141729689862,5.055389141752155,131.04178964184348,1.0,86.0,161.0,1.0,0.3971160096562924,21.852072067916005,92.0,2.6595337895474556,22.463604085069946,143.14069043562185,0.7660823991041114,13.363,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,3,-38,179,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96767062666667,127.87396892,122.47800000000001,2,0.00015376,-0.25094956361379755,0.1302941880344583,0.7830761963590498,0.5539308727470682,-0.10726793582757149,-0.031119220563058894,0.23322834794400224,-4.5993188499999995,-0.392266,8.129712849999999
1786452584.537400,52.156,1.0,-37.64005221332134,1,0,21.512141729689862,5.055389141752155,131.70959810398642,1.0,87.0,161.0,1.0,0.3971160096562924,26.352983828691645,93.0,2.891255849879182,22.463604085069946,143.14069043562185,0.7660823991041114,12.14,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,2,-38,180,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96767062666667,127.87396892,122.47800000000001,2,0.00015376,-0.25147876681786097,0.12847983867486995,0.7865072990044191,0.5492336747747907,-0.1564513141487717,-0.07468263869283737,0.2118829711921116,-5.9918631499999995,-0.5687857,7.6688003
1786452584.587415,52.206,1.0,-36.87258482819755,1,0,21.512141729689862,5.055389141752155,132.31707510136192,1.0,87.0,161.0,1.0,0.3971160096562924,25.685175366548712,93.0,2.8912558498791823,22.463604085069946,143.14069043562185,0.7660823991041114,13.611000000000002,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,2,-38,180,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96767062666667,127.87396892,122.47800000000001,2,0.00015376,-0.25294502281549813,0.12555604613367738,0.7896155233788547,0.5447584969059983,-0.134198366185844,-0.000296705972839036,0.23755676448894822,-4.7660319,-1.14737805,8.129712849999999
1786452584.637419,52.256,1.0,-36.003973245255,1,0,21.512141729689862,5.055389141752155,132.99731941150253,1.0,87.0,161.0,1.0,0.3971160096562924,25.07769836917319,93.0,2.891255849879182,22.463604085069946,143.14069043562185,0.7660823991041114,11.891,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,2,-38,180,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96767062666667,127.87396892,122.47800000000001,2,0.00015376,-0.2537902967925606,0.12407505500837698,0.7928361670847374,0.5400061834284814,-0.1175130185367782,-0.025237460983838004,0.20753710135464573,-5.4328841,-2.4908891,7.6295737
1786452584.687408,52.306,1.0,-37.616346229734965,1,0,21.34107750396968,5.160957125159659,134.27714469069656,1.0,87.0,161.0,1.0,0.39841229394850736,24.39745405903259,93.0,2.8912558498791814,22.279969927819813,147.26937561951544,0.6838016278325725,12.551,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,3,-38,179,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.967671575,127.87396699666667,122.471,2,0.00015376,-0.2544134066237268,0.12257465284118924,0.7961646404658431,0.5351365604057219,-0.12473868164003474,-0.024120450262561634,0.2190562744178083,-5.825150099999999,0.5687857,8.325845849999999
1786452584.737418,52.356,1.0,-36.75173585913499,1,0,21.34107750396968,5.160957125159659,134.90472401613408,1.5,87.0,161.0,1.0,0.39841229394850736,23.792190660552382,93.0,2.6929420675936977,22.279969927819813,147.26937561951544,0.6838016278325725,11.114,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,3,-38,180,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.967671575,127.87396699666667,122.471,2,0.00015376,-0.2531882293884811,0.12117618537596048,0.7999663772986955,0.5303450271176848,-0.11920598791121272,0.012688543661998775,0.1939758930666498,-4.4522191,-0.9512450499999999,7.9433865
1786452584.787415,52.406,1.0,-35.979657818500385,1,0,21.34107750396968,5.160957125159659,135.45966034835988,1.5,87.0,161.0,1.0,0.39841229394850736,23.164611335114845,93.0,2.692942067593698,22.279969927819813,147.26937561951544,0.6838016278325725,10.31,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,2,-38,179,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.967671575,127.87396699666667,122.471,2,0.00015376,-0.25466753191838276,0.11962688004579106,0.8027688887963341,0.5257337433889975,-0.1354899098323198,-0.054175019981903993,0.1799434458806154,-5.727083599999999,-0.7943386499999999,8.571012099999999
1786452584.837426,52.456,1.0,-35.25825318670286,1,0,21.34107750396968,5.160957125159659,135.97368008321934,1.0,87.0,161.0,1.0,0.39841229394850736,22.609675002889073,93.0,2.692942067593698,22.279969927819813,147.26937561951544,0.6838016278325725,13.016,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,2,-38,180,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.967671575,127.87396699666667,122.471,2,0.00015376,-0.2551602474070353,0.11806189289226446,0.8057760787974882,0.5212288829560581,-0.07840018999958528,0.027715828521669955,0.22717205543958194,-4.511059,-1.0002783,8.67888525
1786452584.887445,52.506,1.0,-37.74077800501739,1,0,21.14525788347468,5.261515732253447,136.6267262200754,1.0,87.0,161.0,1.0,0.40406104614571625,22.095655268029613,93.0,2.6929420675936977,22.072730080265824,147.26937561951544,0.6838016278325725,12.011,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,3,-38,180,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.967672478333334,127.873964795,122.48599999999999,2,0.00016384,-0.25617828019083916,0.1169636177663313,0.8089003340302049,0.5161128272803325,-0.1703964948722064,-0.05553637679845957,0.2096314964570389,-5.727083599999999,-1.4317708999999998,7.139241199999999
1786452584.937415,52.556,1.0,-36.920335941981286,1,0,21.14525788347468,5.261515732253447,137.226591236059,1.5,88.0,161.0,1.0,0.40406104614571625,24.0001003363504,94.0,2.7053601500761877,22.072730080265824,147.26937561951544,0.6838016278325725,13.423,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,3,-38,179,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.967672478333334,127.873964795,122.48599999999999,2,0.00016384,-0.25671501917917106,0.11495432252370859,0.8124163041428986,0.5107471501866128,-0.11065387457644049,-0.021048670779051613,0.23427554549519886,-4.4129925,-0.14709974999999997,8.306232549999999
1786452584.987401,52.606,1.0,-35.98776162302515,1,0,21.14525788347468,5.261515732253447,137.90124491638358,1.5,88.0,161.0,1.0,0.40406104614571625,23.4002353203668,94.0,2.7053601500761877,22.072730080265824,147.26937561951544,0.6838016278325725,11.378,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,2,-38,181,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.967672478333334,127.873964795,122.48599999999999,2,0.00016384,-0.2566488857227613,0.11333590474706648,0.815677370997707,0.505921682273747,-0.11491247795130666,-0.05906194188748811,0.19858356229191482,-5.18771785,-1.7259703999999998,8.747531799999999
