latitude,longitude,heading,speed,steer,direction,pitch,terrain,throttle_pulse,wheel_pulse,wheel_speed,steer_measured,throttle_raw,auto_mode,estop
36.96768587,127.87379535,165.84,1.610,1,1,0.00,0,3,1.5,0.663,1,320,0,0
36.96768667,127.87379207,163.03,1.431,-1,1,0.00,0,3,1.5,0.663,-1,313,0,0
36.96768741,127.87378875,164.47,1.622,-5,1,0.00,0,3,1.0,0.442,-5,308,0,0
36.96768811,127.87378544,165.12,1.460,-8,1,0.00,0,3,1.5,0.663,-8,311,0,0
36.96768883,127.87378215,164.71,1.518,-8,1,0.00,0,3,1.5,0.663,-8,311,0,0
36.96768958,127.87377872,164.75,1.705,-8,1,0.00,0,4,1.5,0.663,-8,352,0,0
36.96769022,127.87377549,165.97,1.329,-8,1,0.00,0,3,1.0,0.442,-8,313,0,0
36.96769080,127.87377213,167.81,1.685,-8,1,0.00,0,4,1.5,0.663,-8,333,0,0
36.96769135,127.87376885,168.21,1.466,-8,1,0.00,0,3,1.5,0.663,-8,313,0,0
36.96769191,127.87376547,168.30,1.549,-8,1,0.00,0,3,1.5,0.663,-8,313,0,0
36.96769255,127.87376215,166.47,1.517,-8,1,0.00,0,3,1.0,0.442,-8,314,0,0
36.96769310,127.87375879,168.33,1.442,-8,1,0.00,0,5,1.5,0.663,-8,364,0,0
36.96769359,127.87375549,169.45,1.564,-8,1,0.00,0,3,1.5,0.663,-8,313,0,0
36.96769405,127.87375212,170.43,1.530,-8,1,0.00,0,3,1.5,0.663,-8,314,0,0
36.96769447,127.87374872,171.05,1.636,-7,1,0.00,0,3,1.0,0.442,-7,315,0,0
36.96769494,127.87374529,170.23,1.454,-7,1,0.00,0,3,1.5,0.663,-7,314,0,0
36.96769548,127.87374189,168.86,1.473,-7,1,0.00,0,3,1.5,0.663,-7,315,0,0
36.96769578,127.87373861,173.54,1.595,-7,1,0.00,0,3,1.5,0.663,-7,313,0,0
36.96769621,127.87373525,170.91,1.447,-7,1,0.00,0,3,1.5,0.663,-7,307,0,0
36.96769663,127.87373188,171.06,1.554,-7,1,0.00,0,0,1.0,0.442,-7,195,0,0
36.96769700,127.87372839,172.51,1.580,-8,1,0.00,0,0,1.5,0.663,-8,188,0,0
36.96769733,127.87372527,172.26,1.305,-6,1,0.00,0,0,1.0,0.442,-6,182,0,0
36.96769759,127.87372238,173.58,1.389,-6,1,0.00,0,0,1.5,0.663,-6,181,0,0
36.96769795,127.87371868,172.08,0.632,-6,1,0.00,0,0,1.0,0.442,-6,181,0,0
